date,category,published_date,site_name,url,title,summary,content,region,score_ag,keywords,reward_x,rl_score,lgbm_score,reward_y,final_score,strategic_score,lgbm_component,is_top20
2026-03-19,Zuellig,2026-03-19 10:02:00,Naver News,https://www.yakup.com/news/index.html?mode=view&cat=12&nid=324847,"[약업신문]쥴릭파마, 시알리스 국내 판권 확보...판촉-유통 담당","쥴릭파마(대표: 마크 프랑크)는 발기부전 및 양성 전립선비대증 치료제 시알리스®(Cialis, 성분명 타다라필) 판권을 글로벌 제약사 일라이 릴리로부터 한국, 홍콩, 마카오 등 3개 시장에서 인수했다고 19일...","쥴릭파마(대표: 마크 프랑크)는 발기부전 및 양성 전립선비대증 치료제 시알리스®(Cialis, 성분명 타다라필) 판권을 글로벌 제약사 일라이 릴리로부터 한국, 홍콩, 마카오 등 3개 시장에서 인수했다고 19일...",local,10,쥴릭,,,0,,13.600000000000001,19.0,10,True
2026-03-19,Zuellig,2026-03-19 13:12:00,Naver News,https://www.medipana.com/news/articleView.html?idxno=408477,"쥴릭파마, '시알리스' 한국·홍콩·마카오 등 3개 시장 판권 확보 - 메디파나뉴스","글로벌 헬스케어 솔루션 기업 쥴릭파마(Zuellig Pharma, 대표 마크 프랑크 Marc Franck)는 발기부전(ED) 및 양성 전립선비대증(BPH) 치료제.","글로벌 헬스케어 솔루션 기업 쥴릭파마(Zuellig Pharma, 대표 마크 프랑크 Marc Franck)는 발기부전(ED) 및 양성 전립선비대증(BPH) 치료제",local,10,릴리,,,0,,12.8,17.0,10,True
2026-03-19,Zuellig,2026-03-19 06:00:00,Naver News,https://www.bosa.co.kr/news/articleView.html?idxno=3000891,"노보 노디스크, 위고비 유통망 확대 나서나 - 의학신문",노보 노디스크제약이 비만치료제 위고비의 국내 유통망을 확대하기 위해 쥴릭파마와 종근당에 이어 전국 5곳의 의약품유통업체를 추가로.,[의학신문·일간보사=김상일 기자]노보 노디스크제약이 비만치료제 위고비의 국내 유통망을 확대하기 위해 쥴릭파마와 종근당에 이어 전국 5곳의 의약품유통업체를 추가로,local,10,쥴릭,,,0,,12.8,17.0,10,True
2026-03-19,Zuellig,2026-03-20 06:12:00,Naver News,https://www.hitnews.co.kr/news/articleView.html?idxno=74710,"[단독] 전열다지는 위고비, 가격 인하에 유통처 변경까지","비만 치료제 시장에서 릴리 '마운자로'와 경쟁 관계인 노보 노디스크 '위고비'가 전열을 가다듬으며 경쟁 우위 준비를 하고 있다. 기존 판매 및 영업처를 변경해 내부 수익성을 강화하는 동시에 출하가격 인하 이야기도 나온다.업계 관계자들에 따르면 노보 노디스크는 이달 25일부터 비만치료제 위고비의 유통처를 현행 쥴릭파마에서 종근당으로 전환할 예정이다. 온도에 민감한 제품이라서 콜드체인 운송이 가능한 의약품 유통업체 5곳이 2차 유통업체 및 의료기관, 약국에 공급한다는 이야기도 포함돼 있다.위고비는 그동안 오젬픽이나 인슐린 등과 같이 쥴.","비만 치료제 시장에서 릴리 '마운자로'와 경쟁 관계인 노보 노디스크 '위고비'가 전열을 가다듬으며 경쟁 우위 준비를 하고 있다. 기존 판매 및 영업처를 변경해 내부 수익성을 강화하는 동시에 출하가격 인하 이야기도 나온다.업계 관계자들에 따르면 노보 노디스크는 이달 25일부터 비만치료제 위고비의 유통처를 현행 쥴릭파마에서 종근당으로 전환할 예정이다. 온도에 민감한 제품이라서 콜드체인 운송이 가능한 의약품 유통업체 5곳이 2차 유통업체 및 의료기관, 약국에 공급한다는 이야기도 포함돼 있다.위고비는 그동안 오젬픽이나 인슐린 등과 같이 쥴",local,10,콜드체인,,,0,,12.8,17.0,10,False
2026-03-19,Zuellig,2026-03-19 21:50:00,Naver News,https://www.bosa.co.kr/news/articleView.html?idxno=3001104,"쥴릭파마, 시알리스 국내 판권 확보 - 의학신문",쥴릭파마(대표 마크 프랑크는 발기부전 및 양성 전립선비대증 치료제 시알리스(분명 타다라필)의 판권을 글로벌 제약사 일라이 릴리로.,[의학신문·일간보사=김상일 기자] 쥴릭파마(대표 마크 프랑크는 발기부전 및 양성 전립선비대증 치료제 시알리스(분명 타다라필)의 판권을 글로벌 제약사 일라이 릴리로,local,10,판권,,,0,,12.8,17.0,10,False
2026-03-19,Zuellig,2026-03-19 10:44:00,Naver News,https://www.widedaily.com/news/articleView.html?idxno=290651,"쥴릭파마 ""발기부전 치료제 '시알리스' 국내 판권 확보""",글로벌 헬스케어 솔루션 기업 쥴릭파마(Zuellig Pharma)가 발기부전치료제 ‘시알리스’(성분명 타다라필) 국내 판권을 확보했다.쥴릭파마는 글로벌제약사 일라이 릴리로부터 발기부전 및 양성 전립선비대증 치료제인 시알리스의 국내 판권을 확보했다고 19일 밝혔다.이번 계약을 통해 쥴릭.,글로벌 헬스케어 솔루션 기업 쥴릭파마(Zuellig Pharma)가 발기부전치료제 ‘시알리스’(성분명 타다라필) 국내 판권을 확보했다.쥴릭파마는 글로벌제약사 일라이 릴리로부터 발기부전 및 양성 전립선비대증 치료제인 시알리스의 국내 판권을 확보했다고 19일 밝혔다.이번 계약을 통해 쥴릭,local,10,쥴릭,,,0,,12.8,17.0,10,False
2026-03-19,Distribution,2026-03-15 16:00:00,Naver News,https://www.mt.co.kr/future/2026/03/15/2026031511011777036,"두달만에 약사 5000명 가입…바로팜, '팜올플러스' 흥행 비결 - 머니투데이",약국 경영 토탈 플랫폼 기업 바로팜이 '팜올플러스' 출시 2개월 만에 가입 약사 5000명을 확보했다고 15일 밝혔다.,[이 기사에 나온 스타트업에 대한 보다 다양한 기업정보는 유니콘팩토리 빅데이터 플랫폼 '데이터랩'에서 볼 수 있습니다. ]  약국 경영 토탈 플랫폼 기업 바로팜이 '팜올플러스' 출시 2개월 만에 가입 약사 5000명을 확보했다고 15일 밝혔다.,local,10,바로팜,,,0,,12.8,17.0,10,True
2026-03-19,Zuellig,2026-03-13 10:06:00,Naver News,https://www.yakup.com/news/index.html?mode=view&cat=16&nid=324543,"[약업신문]쥴릭, 한국 등 아시아 3개국서 ‘시알리스’ 전권 인수","쥴릭 파마社가 한국과 홍콩, 마카오에서 일라이 릴리社의 발기부전 및 양성 전립선 비대증(BPH) 치료제 ‘시알리스’(타달라필)에 대한 일체의 권한을 인수했다고 12일 공표했다.이에 따라 쥴릭 파마는 한국을 비롯...","쥴릭 파마社가 한국과 홍콩, 마카오에서 일라이 릴리社의 발기부전 및 양성 전립선 비대증(BPH) 치료제 ‘시알리스’(타달라필)에 대한 일체의 권한을 인수했다고 12일 공표했다.이에 따라 쥴릭 파마는 한국을 비롯...",local,10,쥴릭,,,0,1.0,12.4,16.0,10,False
2026-03-19,Client,2026-03-19 17:28:00,Naver News,https://www.mt.co.kr/thebio/2026/03/19/2026031916525257156,"""위고비 맞으면 얼마나 빠져요?"" GLP-1 모르면 이렇게 질문합니다 - 머니투데이","""위고비 맞으면 얼마나 빠져요?""  'GLP-1'(지엘피원)을 모르는 환자들이 가장 많이 하는 질문이다. 화제의 비만약 '위고비'(노보 노디스크)가 출시 1년이 지나도록 선풍적 인기를 끌고 있다.","""위고비 맞으면 얼마나 빠져요?""  'GLP-1'(지엘피원)을 모르는 환자들이 가장 많이 하는 질문이다. 화제의 비만약 '위고비'(노보 노디스크)가 출시 1년이 지나도록 선풍적 인기를 끌고 있다.",local,10,위고비,,,0,,11.600000000000001,14.0,10,False
2026-03-19,BD,2026-03-20 06:06:00,Naver News,https://www.yakup.com/news/index.html?mode=view&cat=18&nid=324888,[약업신문]노보·릴리 성장 스토리 흔들리나…HSBC ‘비만 치료제 과열’ 경고,글로벌 투자은행 HSBC가 일라이 릴리에 대한 투자 의견을 하향 조정하면서 비만 치료제 시장의 성장 기대에 대한 재평가가 제기되고 있다. 특히 경구용 GLP-1 계열 치료제 출시를 둘러싼 과도한 기대감과 가격 경...,글로벌 투자은행 HSBC가 일라이 릴리에 대한 투자 의견을 하향 조정하면서 비만 치료제 시장의 성장 기대에 대한 재평가가 제기되고 있다. 특히 경구용 GLP-1 계열 치료제 출시를 둘러싼 과도한 기대감과 가격 경...,local,10,제네릭,,,0,,11.600000000000001,14.0,10,True
