date,category,published_date,site_name,url,title,summary,region,score_ag,keywords,reward,rl_score
2026-04-03,Daily,2026-04-02 18:04:00,Naver News,https://kormedi.com/?p=2803954,릴리 먹는 비만약도 美 FDA 승인... 게임체인저 등장?,"앞서 승인된 노보노디스크의 먹는 약 '위고비 필'이 아침 공복에 물과 함께 복용하고 30분간 금식을 해야... 가격은 최저 용량 기준 월 149달러(22만5000원)로, 경쟁 약물인 위고비 필과 최저 용량 기준으로 동일한... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 17:52:00,Naver News,https://www.newspim.com/news/view/20260402001284,"HLB 그룹, IR데이서 미래사업 공개…""간암 신약, 상업화 단계 진입""","진 의장은 ""늦어도 3~4개월 안에 항암제 상업화 결과를 확인할 수 있을 것""이라며 ""그간의 시행착오와 축적된 경험을 바탕으로 올해는 HLB가 제대로 평가받는 해가 될 것""이라고 말했다. [서울=뉴스핌] 이나영 기자... ",local,5,항암제,,
2026-04-03,Daily,2026-04-02 17:50:00,Naver News,https://www.goodmorningcc.com/news/articleView.html?idxno=444018,"이명수 ""존경받던 교사, 더 이상 장래희망 아냐""","특히 난임 부부 지원도 현실에 맞게 확대할 필요가 있다. 과거에는 시술 횟수와 연령 제한 등으로 많은 어려움이 있었는데, 이러한 제약은 점차 개선돼야 한다. 정리하면 폐교는 단순 매각이 아니라 공공적 활용을 우선... ",local,5,난임,,
2026-04-03,Daily,2026-04-02 17:40:00,Naver News,https://health.chosun.com/site/data/html_dir/2026/04/02/2026040203754.html,"트럼프, 약값 인하 거부 제약사에 '100% 관세' 검토","이들 기업은 지난 2월 출범한 공공 의약품 공급 플랫폼 ‘트럼프RX’를 통해 위고비, 젭바운드 등 주요 의약품을 평균 50% 할인된 가격에 공급하는 대신 3년간 관세 면제 혜택을 받고 있다. 이번 관세 부과의 법적 근거로는... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 17:34:00,Naver News,https://www.asiatime.co.kr/article/20260402500400,[대학 뉴스브리핑] 고려대·성균관대·이화여대,"고려대, 약물 저항성 극복한 항암제 개발⋯차세대 정밀 암 치료 기술 구현 딩치항(Ding Qihang) 고려대 화학과 박사(제1저자), 화스웨이(Hua Siwei) 고려대 화학과 석사과정(공동저자), 김고은 박사과정(공동저자), 김종승 교수... ",local,5,항암제,,
2026-04-03,Daily,2026-04-02 17:32:00,Naver News,https://www.dongascience.com/news/view/77180,"""고형암에도 CAR-T세포 치료 통한다""…암세포 공격하는 새 표적 발견",기존 항암제와 함께 쓰면 효과가 더 커졌다. 항암제를 투여하면 암세포에서 uPAR이 더 많이 나타난다. CAR-T 세포를 함께 투여하면 표적이 늘어나 공격 효율이 높아지는 원리다. 온몸으로 퍼진 난소암 실험쥐에서... ,local,5,항암제,,
2026-04-03,Daily,2026-04-02 17:30:00,Naver News,https://www.sisajournal-e.com/news/articleView.html?idxno=420234,이뮨온시아 유상증자 흥행할까···한국투자증권은 실권주 리스크,이뮨온시아는 2016년 유한양행과 미국 바이오 기업 소렌토테라퓨틱스가 면역항암제 개발을 목표로 설립한 합작 바이오벤처다. 2023년 소렌토가 파산 절차에 들어가면서 유한양행이 보유 지분을 전량 인수해 최대주주... ,local,5,항암제,,
2026-04-03,Daily,2026-04-02 17:28:00,Naver News,https://www.medipana.com/news/articleView.html?idxno=409196,"비만 치료, 단순 감량 넘어 근육 보존까지 따져야","◆ GLP-1 등장 이후 '근감소' 주목...""섭취량 급감이 원인"" 단순 감량이 아닌 근육 보존으로 흐름이 변화한 데에는 위고비나 마운자로 등 GLP-1 계열 비만 치료제의 확산도 일정 부분 영향을 미친 것으로 풀이된다. 체중계... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 17:24:00,Naver News,http://www.lawissue.co.kr/view.php?ud=202604021558085545b50722e900_12,"[국회입법] 김민전의원 등 10인,모자보건법 일부개정법률안 제안","제안이유 및 주요내용은 현행법은 저출생 극복을 위한 난임극복 지원사업의 일환으로 난임치료 시술비를 지원하고 있으나, 실제 치료 과정에서 필수적으로 수반되는 검사비, 약제비 등은 지원 대상에서 제외되어 난임... ",local,5,난임,,
2026-04-03,Daily,2026-04-02 17:23:00,Naver News,https://www.donga.com/news/Economy/article/all/20260402/133662642/1,“커피 한잔 값”…위고비 vs 파운다요 ‘먹는 비만약’ 경쟁,연초 노보 노디스크가 경구용 위고비를 내놓은 데 이어 릴리까지 가세하면서 비만치료제 시장이 주사제... 노보 노디스크의 경구용 위고비(세마글루타이드)는 아침 기상 직후 공복에 일정량의 물과 함께 복용해야 하고... ,local,5,위고비,,
2026-04-03,Daily,2026-04-02 17:19:00,Naver News,https://www.topdaily.kr/articles/109532,"[TOP's Pick] [제약] LG화학, ‘미개척 표적’ 겨냥 혁신항암제 개발 나서...","◆지오영 그룹, 연매출 5조 시대 열어 국내 최대 헬스케어 플랫폼 지오영이 지난해 연결 기준 매출 5조3509억원, 영업이익 1036억원을 기록. 매출은 전년 대비 14.6% 증가하며 창사 이래 처음으로 연간 5조원 돌파.... ",local,5,지오영,,
2026-04-03,Daily,2026-04-02 17:18:00,Naver News,http://www.niceeconomy.co.kr/news/articleView.html?idxno=89583,[제약 브리핑] 차병원·대원제약·한미약품,"◇ 차 의과학대학교, 홍콩이공대와 난임·세포치료 학술 교류 논의 차 의과학대학교는 홍콩이공대학교... 내 난임 트레이닝센터 등 주요 시설을 둘러봤다. 차병원은 특히 홍콩이공대학교 방문단에게 차병원... ",local,5,난임,,
2026-04-03,Daily,2026-04-02 17:08:00,Naver News,https://www.munhwa.com/article/11579457?ref=naver,‘비만약 세계 5위 한국’…근육 손실 없는 다이어트 관심,"안재현 글로벌365mc인천병원 대표병원장은 2일 “위고비나 마운자로 같은 GLP-1 계열 비만 치료제가 근육을 줄이지는 않지만, 식욕 억제로 단백질·에너지 부족이 생기고 활동량 감소까지 겹치면 감량 과정에서 근육이 함께... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 17:04:00,Naver News,https://www.newsis.com/view/NISX20260402_0003575849,"""위고비 돌풍""…한국노보노디스크 매출 7000억 '86%↑'",실적 급성장은 지난 2024년 10월 국내 출시한 비만치료제 '위고비'(성분명 세마글루티드)의 매출 급증에... 위고비는 국내에서 ▲성인·청소년의 비만 치료 목적 ▲성인 과체중·비만 환자의 심혈관계 사건 위험 감소... ,local,5,위고비,,
2026-04-03,Daily,2026-04-02 17:02:00,Naver News,https://www.etoday.co.kr/news/view/2572256,"""먹기만 하면 빠진다?"" 믿었다간 낭패⋯식약처, 부당광고 긴급 대응","유튜브와 인스타그램 등 소셜미디어(SNS)에서 '먹는 위고비', '먹는 알부민'처럼 의약품을 연상시키는 문구를... 중심으로 '먹는 위고비', '먹는 알부민'처럼 의약품 명칭을 모방한 식품 광고나 AI로 생성한 가짜 의사를 활용한... ",local,5,위고비,,
2026-04-03,Daily,2026-04-02 16:52:00,Naver News,http://www.lawissue.co.kr/view.php?ud=20260402165043551f4ab64559d_12,"차 의과학대학교, 홍콩이공대 공과대학 방문단 맞아 학술 교류 논의","방문단은 차바이오컴플렉스 내 난임 트레이닝센터 등 주요 연구 시설을 둘러보고, 교육 및 연구 인프라에 대한 설명을 들었다. 이날 학교 소개 세션에서는 차 의과학대학교의 교육 체계와 연구 분야가 공유됐으며, 양... ",local,5,난임,,
2026-04-03,Daily,2026-04-02 16:08:00,Naver News,https://www.sisajournal-e.com/news/articleView.html?idxno=420224,일동·유유제약 R&D 사령탑 '박재홍·류현기'···'조코바'·개량신약 주...,"2022년 동아에스티에 합류, 최고과학책임자(CSO)로서 R&D 분야를 이끈 바 있다. 일동제약 R&D 현안은 코로나19 치료제 조코바와 위식도역류질환 치료 신약후보물질 '파도프라잔(코드명 ID120040002)'으로 분석된다. 조코바는... ",local,5,CSO,,
2026-04-03,Daily,2026-04-02 16:02:00,Naver News,http://www.doctorstimes.com/news/articleView.html?idxno=237435,[병원계 소식] 4월 2일,"내 난임 트레이닝센터를 비롯한 주요 연구 시설을 견학했다. 이를 통해 교육·연구 인프라를 둘러보고, 연구... 특히, 설립 65주년을 맞은 차병원·차바이오그룹이 난임 치료와 세포치료제 분야에서 한국 사회에 기여한... ",local,5,난임,,
2026-04-03,Daily,2026-04-02 15:42:00,Naver News,https://daily.hankooki.com/news/articleView.html?idxno=1354538,"제약업계, 약가 인하에 R&D 수장 교체…글로벌·신약으로 승부","글로벌 제약사에서 18년 이상 근무한 항암 분야 중개연구 전문가로, 2022년 동아에스티에 합류해 최고과학책임자(CSO)를 맡으며 R&D를 총괄해왔다. 같은 날 메디톡스도 임상개발본부 총괄 이사로 이태상 상무를 영입했다.... ",local,5,CSO,,
2026-04-03,Daily,2026-04-02 15:14:00,Naver News,http://www.k-health.com/news/articleView.html?idxno=91223,위치별로 다른 각양각색 '자궁근종'…정밀진단·맞춤치료 필수,"점막하근종은 자궁 안쪽에 발생하며 생리양 과다와 난임의 주범으로 꼽힌다. 비록 발생비율은 낮지만 증상은... 여성난임과 불임·유산의 원인이 될 수 있어 적극 치료가 권장된다""고 강조했다. 근층내근종은 자궁의 근육층... ",local,5,난임,,
2026-04-03,Daily,2026-04-02 14:44:00,Naver News,http://www.biztribune.co.kr/news/articleView.html?idxno=351709,"일동제약, 새 R&D 본부장 박재홍 사장 선임","이후 얀센, 다케다제약, 베링거인겔하임 등과 같은 글로벌 제약 기업에서 신약 임상 개발 및 상용화와 관련한 다양한 경험을 쌓았으며, 2022년부터는 동아ST에 합류해 최고과학책임자(CSO)로서 R&D 분야를 이끈 바 있다.",local,5,CSO,,
2026-04-03,Daily,2026-04-02 14:20:00,Naver News,http://www.bokuennews.com/news/article.html?no=276170,"YS생명과학, 국내 첫 정제형 알파칼시돌 'YS알파정 1.0 ㎍' 발매","수준의 CSO(제약 마케팅·영업 대행) 전문 법인으로 국내 제약사와의 다양한 협업과 파트너십을 통해 영업력과 전문성을 확대해 왔으며, 특히 혁신적인 마케팅 역량을 바탕으로 국내 CSO 시장을 선도하는 기업으로... ",local,5,CSO,,
2026-04-03,Daily,2026-04-02 08:50:00,Naver News,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065570416180480,"지오영, 창사 첫 매출 5조 벽 돌파…3PL·4PL 앞세워 영업익 28% 급증","지오영그룹이 창사 이래 처음으로 연매출 5조원을 돌파했다. 의약품 유통 본업의 안정적인 성장에 더해... 국내 최대 헬스케어 플랫폼 지오영은 1일 2025년 연결 기준 매출 5조3509억원, 영업이익 1036억원을 기록했다고... ",local,5,지오영,,
2026-04-03,Daily,2026-04-02 06:00:00,Naver News,https://www.apsk.co.kr/news/articleView.html?idxno=539020,일동·유유·메디톡스 'R&D 사령탑' 교체…'글로벌·융합형' 전진 배치,"박재홍 사장은 얀센, 다케다제약, 베링거인겔하임 등과 같은 글로벌 제약 기업에서 신약 임상 개발 및 상용화와 관련한 다양한 경험을 쌓았으며, 2022년부터는 동아ST에 합류해 최고과학책임자(CSO)로서 R&D 분야를 이끈 바... ",local,5,CSO,,
