date,category,published_date,site_name,url,title,summary,content,region,score_ag,keywords,reward,rl_score
2026-09-03,Client,2026-09-03 18:40:00,Naver News,https://www.hemophilia.co.kr/news/articleView.html?idxno=44238,"미국, 혈우병 치료제도 ‘해외 최저가’ 수준으로…CSL 등 9개 제약사 Medicaid 약가 인하 합의 - 헤모필리아라이프",미국 정부가 혈우병을 비롯한 희귀질환 치료제의 공공보험 구매가격을 다른 선진국에서 판매되는 낮은 가격 수준으로 조정하는 약가 인하 정책을 확대한다.도널드 트럼프.,미국 정부가 혈우병을 비롯한 희귀질환 치료제의 공공보험 구매가격을 다른 선진국에서 판매되는 낮은 가격 수준으로 조정하는 약가 인하 정책을 확대한다.도널드 트럼프,local,10,아스텔라스,,
2026-09-03,Distribution,2026-09-03 08:04:00,Naver News,https://www.medipana.com/news/articleView.html?idxno=416992,"바로팜 자회사 CHD제약, 박동순 부대표 영입 - 메디파나뉴스","바로팜 자회사 CHD제약(대표이사 김창준)이 박동순 부대표를 영입하고, 기존 사업 전문성 강화와 신규 사업 발굴을 통한 제약사업 다각화에 나선다. 박동순 신임 부대표는 동국대학교 경상대학 무역학과를 졸업한 뒤 한일약품공업을 거쳐 GSK에서 장기간 근무했다. 이후 관련 업계에서 활동하며 삼성바이오에피스 고문 등을 역임하는 등 30년 이상 제약·바이오 산업 전.","바로팜 자회사 CHD제약(대표이사 김창준)이 박동순 부대표를 영입하고, 기존 사업 전문성 강화와 신규 사업 발굴을 통한 제약사업 다각화에 나선다. 박동순 신임 부대표는 동국대학교 경상대학 무역학과를 졸업한 뒤 한일약품공업을 거쳐 GSK에서 장기간 근무했다. 이후 관련 업계에서 활동하며 삼성바이오에피스 고문 등을 역임하는 등 30년 이상 제약·바이오 산업 전",local,10,바로팜,,
2026-09-03,Client,2026-09-04 06:00:00,Naver News,https://www.apsk.co.kr/news/articleView.html?idxno=540351,"암젠 '타브네오스' 퇴출론 확산…美·EU·英 잇단 제동, 국내는 허가 후 미출시 - 메디팜스투데이",희귀 혈관염 치료제 암젠의 '타브네오스'(성분명 아바코판)를 둘러싼 규제 리스크가 확산하고 있다. 일본에서 투여 환자 사망 사례가 보고된 데 이어 미국과 유럽연합.,희귀 혈관염 치료제 암젠의 '타브네오스'(성분명 아바코판)를 둘러싼 규제 리스크가 확산하고 있다. 일본에서 투여 환자 사망 사례가 보고된 데 이어 미국과 유럽연합,local,10,암젠,,
2026-09-03,Client,2026-09-03 13:18:00,Naver News,https://www.yakup.com/news/index.html?mode=view&cat=16&nid=332058,[약업신문]암젠 ‘레파타’ 고위험 환자 사망 위험성 20% ↓,콜레스테롤 저하제 ‘레파타’(에볼로쿠맙)가 심혈관계 제 증상을 포함해 전체 원인들에 의한 사망 위험성을 감소시켜 주는 효과가 입증된 최초이자 유일한 전구단백질 전환효소 서브틸리신/켁신 9형(PCSK9) ...,콜레스테롤 저하제 ‘레파타’(에볼로쿠맙)가 심혈관계 제 증상을 포함해 전체 원인들에 의한 사망 위험성을 감소시켜 주는 효과가 입증된 최초이자 유일한 전구단백질 전환효소 서브틸리신/켁신 9형(PCSK9) ...,local,10,암젠,,
2026-09-03,Client,2026-09-04 06:00:00,Naver News,https://it.chosun.com/news/articleView.html?idxno=2023092168858,살 빼던 약이 간·신장·심장까지… GLP-1은 '만능 약' 될까 [비만약 시대②],"GLP-1 계열 치료제 위고비를 시작으로 전 세계를 뒤흔든 비만치료제가 빠르게 진화하고 있다. 단순 체중을 줄이는 것을 넘어 지방만 빼고 근육은 지키는 차세대 기술이 등장하는가 하면, 당뇨·비만을 넘어 심혈관·신장·간질환 등으로 치료 영역을 넓히며 ‘만능약’ 반열에 도전하.","[편집자주] GLP-1 계열 치료제 위고비를 시작으로 전 세계를 뒤흔든 비만치료제가 빠르게 진화하고 있다. 단순 체중을 줄이는 것을 넘어 지방만 빼고 근육은 지키는 차세대 기술이 등장하는가 하면, 당뇨·비만을 넘어 심혈관·신장·간질환 등으로 치료 영역을 넓히며 ‘만능약’ 반열에 도전하",local,10,노보노디스크,,
2026-09-03,Client,2026-09-02 18:02:00,Naver News,https://www.newsworks.co.kr/news/articleView.html?idxno=852463,먹는 비만약 '2라운드' 점입가경…위고비필 '장군'에 파운다요 '멍군',"오는 2030년 130조원대 규모가 예상되는 비만치료제 시장이 '먹는 비만약'으로 전선이 확대되고 있다. 덴마크 제약사 노보노디스크가 먹는 비만약 '위고비필'을 선제적으로 출시하자, 미국의 일라이릴리가 곧장 '파운다요'를 출시하며 맞불을 놓은 상태다. 향후 복용 편의성과 효과, 가격경쟁력을 두고 양사의 물밑 경쟁도 치열해지면서 시장의 관심도 커지고 있다. 2일 제약바이오 업계에 따르면, 최근 노보노디스크의 위고비필(세마글루티드)과 일라이릴리의 파운다요(오포글리프론)가 먹는 비만약 시장의 양강을 형성하고 있다.","[뉴스웍스=박시은 기자] 오는 2030년 130조원대 규모가 예상되는 비만치료제 시장이 '먹는 비만약'으로 전선이 확대되고 있다. 덴마크 제약사 노보노디스크가 먹는 비만약 '위고비필'을 선제적으로 출시하자, 미국의 일라이릴리가 곧장 '파운다요'를 출시하며 맞불을 놓은 상태다. 향후 복용 편의성과 효과, 가격경쟁력을 두고 양사의 물밑 경쟁도 치열해지면서 시장의 관심도 커지고 있다. 2일 제약바이오 업계에 따르면, 최근 노보노디스크의 위고비필(세마글루티드)과 일라이릴리의 파운다요(오포글리프론)가 먹는 비만약 시장의 양강을 형성하고 있다",local,10,노보노디스크,,
2026-09-03,Client,2026-09-03 20:12:00,Naver News,http://www.medisobizanews.com/news/articleView.html?idxno=141858,"국산 CAR-T치료제 '림카토', 재수 끝에 약평위 급여 문턱 넘어","국산 CAR-T 치료제 '림카토주(안발캅타젠오토류셀)'가 약제급여평가위원회에서 조건부 급여적정성 판단을 받았다.다발골수종 치료제 '텍베일리주(테클리스타맙)', 전이성 결장직장암 치료제 '프루자클라캡슐(프루퀸티닙)'도 급여 적정성을 인정받았다.건강보험심사평가원은 3일 2026년 제9차 약제급여평가위원회를 열고 이 같은 내용의 요양급여 적정성 등을 심의했다.약평위는 이날 림카토에 대해 두 가지 이상의 전신 치료 후 재발성 또는 불응성 미만성 거대B세포림프종(DLBCL)과 원발성 종격동 거대B세포림프종(PMBCL) 성인 환자 치료제로 평.","국산 CAR-T 치료제 '림카토주(안발캅타젠오토류셀)'가 약제급여평가위원회에서 조건부 급여적정성 판단을 받았다.다발골수종 치료제 '텍베일리주(테클리스타맙)', 전이성 결장직장암 치료제 '프루자클라캡슐(프루퀸티닙)'도 급여 적정성을 인정받았다.건강보험심사평가원은 3일 2026년 제9차 약제급여평가위원회를 열고 이 같은 내용의 요양급여 적정성 등을 심의했다.약평위는 이날 림카토에 대해 두 가지 이상의 전신 치료 후 재발성 또는 불응성 미만성 거대B세포림프종(DLBCL)과 원발성 종격동 거대B세포림프종(PMBCL) 성인 환자 치료제로 평",local,10,얀센,,
2026-09-03,Client,2026-09-04 05:01:00,Naver News,https://www.nongmin.com/article/20260903500035,“에너지 소비 늘려 지방 태운다”…‘식욕 억제’ 위고비와 다른 치료법 나오나,"위고비·마운자로처럼 식욕을 줄여 살을 빼는 비만 치료제와 달리, 몸이 스스로 에너지를 더 쓰게 해 지방을 태우는 새로운 치료법이 나왔다. 미국 UC버클리 연구팀이 오래된 화합물 ‘TOFA’를 비만 쥐에 투여한 결과 에너지 소비가 최대 18% 늘면서 지방은 줄고 근육량은.","위고비·마운자로처럼 식욕을 줄여 살을 빼는 비만 치료제와 달리, 몸이 스스로 에너지를 더 쓰게 해 지방을 태우는 새로운 치료법이 나왔다. 미국 UC버클리 연구팀이 오래된 화합물 ‘TOFA’를 비만 쥐에 투여한 결과 에너지 소비가 최대 18% 늘면서 지방은 줄고 근육량은",local,10,위고비,,
2026-09-03,BD,2026-09-04 07:00:00,Naver News,https://www.fetv.co.kr/news/articleView.html?idxno=309595,"[혁신형 인증 영향도] 에스티팜, 약가인하 영향 제한…매출 97%가 수출 - FETV",보건복지부가 제네릭(복제약) 약가제도와 혁신형 제약기업 인증제도를 잇달아 손질하면서 제약업계의 셈법도 복잡해지고 있다. FETV는 제도개편이 제약사.,[편집자 주] 보건복지부가 제네릭(복제약) 약가제도와 혁신형 제약기업 인증제도를 잇달아 손질하면서 제약업계의 셈법도 복잡해지고 있다. FETV는 제도개편이 제약사,local,10,라이선스,,
2026-09-03,Client,2026-09-04 06:01:00,Naver News,https://biz.chosun.com/science-chosun/bio/2026/09/04/JB6SR6IYJ5CT5OV3KPE2KNGRSM/?utm_source=naver&utm_medium=original&utm_campaign=biz,"에이프릴바이오 신약 후보물질, 룬드벡이 다시 꺼냈다…기사회생하나","에이프릴바이오 신약 후보물질, 룬드벡이 다시 꺼냈다기사회생하나 APB-A1, 갑상선안병증 겨냥 개발 중단 새 적응증으로 전략 전환 기술수출 계약 가치.","에이프릴바이오 신약 후보물질, 룬드벡이 다시 꺼냈다기사회생하나 APB-A1, 갑상선안병증 겨냥 개발 중단 새 적응증으로 전략 전환 기술수출 계약 가치",local,10,MSD,,
